frame,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9
146,52.83532862689704,56.757815302295505,160.03568060166174,163.6318720698041,83.62471785526854,98.14425351318184,97.17688405579958,110.89414637358024,138.44043911676968,135.8843436193384
147,52.54082638088922,57.542502088514446,160.0437860776068,164.80737732318653,85.55726009764223,103.0228195445334,100.31414332682192,117.38820220717562,139.84022820341946,137.71009966162626
148,51.78956215629454,57.49969351353681,160.0882831282689,165.349777167048,89.96360108430655,106.07418300433878,106.30769504608844,122.65810097283409,141.12958831619366,140.00389782304416
149,51.04851741816793,56.15242809874225,159.98225204741766,165.37011786098637,94.52466938505427,105.56891826620587,116.63754047050318,121.80429640270376,130.05391164229815,136.2314355462828
150,51.24072484713373,56.45387466367794,160.21898588766288,166.2962735862146,105.00043233747232,112.1743400091043,129.19766279826362,135.22838450068878,131.97090769837493,140.3430921365878
151,52.19457819521226,57.11060915530027,161.27955300371778,165.4416357888555,113.74597480359604,112.6970699722392,141.47445947598726,137.80384283412045,131.6022854401073,129.19252106350612
152,52.29754218747132,56.43923568511617,161.58836005976406,163.82970831717174,117.03818420806913,115.04487450657598,147.11000467055723,140.64271714283825,139.59563059304378,137.07418683778477
153,52.372993495082156,54.66622522071072,162.03784960413108,163.90634130650588,125.8300498511417,107.85530809694964,158.83231944161508,121.29667506941882,150.19338895152887,123.05225025104924
154,51.92537248111298,53.705062436479714,162.1932380992568,164.57537960004157,130.59234683669973,101.32812328671788,164.20376510127457,110.85083445086227,142.36333115782824,138.21372511010256
155,51.96516960050938,52.5366774100111,162.59846334409312,165.85927764201386,132.67465916527,96.58225030815372,164.85822178377893,100.29344433399149,145.6663892406637,142.15416576639794
156,52.80022002256348,52.81305419326257,163.85175299966508,166.217836574041,131.73916091118173,94.10959158649044,160.48386581496456,101.42186795892945,139.70259589279743,143.54815698576633
157,52.97580124666177,53.684980603198206,163.7778220638791,166.09948187515323,131.20054447961675,95.6516431083643,157.1557743761953,105.76602600473731,151.41671318098642,145.827914451489
158,53.23108531487737,54.601718243992934,163.36157962948573,164.74362789993,128.43160447358116,97.78074736435205,153.27403889046806,116.0807060946544,153.46219990125945,151.95826185521975
159,53.86617252016045,55.81960269459262,163.14579075941026,164.2415950806248,120.0458866284526,113.67385251347119,137.00937441566907,136.66575557024953,145.4117742914749,150.55806848866862
160,54.14659932685675,56.8168756261005,163.02354796057926,163.19558287202673,114.59477955519188,114.3287745874042,126.25416778240341,134.61003643186763,144.08626131210343,144.37832937290858
161,54.67304989330913,57.72907733805528,162.95715993184956,163.33628624574595,110.11269098971789,114.72411220355382,118.46892556796041,140.96783473653304,144.09370735010452,160.05600193222912
162,54.64155261909019,56.95876843779474,162.4559334014719,162.9779720254555,104.04869138827083,111.67257880627803,113.64039742439314,128.79262511127783,143.27111914265757,152.3462026449069
163,54.65106681864371,57.13989163622174,162.247393043499,164.43771198725824,97.35995895642816,103.08221020986365,105.48084853315495,117.14899717721295,139.53341095469204,137.81212668685163
164,54.07590396829248,57.74651898094251,162.54872594497226,164.9626452816912,88.67209340934573,101.7657955136057,98.25742613080968,114.66752173889353,141.91198932062204,140.6796319127955
165,53.72262325595079,56.82487944733594,162.39168137430633,164.48753095207556,82.27660005779629,99.70512672423202,95.70911779907857,113.82440210157844,140.0137297479273,138.98606826840395
